"rocket","company","location"
"Thor DM-21 Agena-D","US Air Force","SLC-2E (75-1-1), Vandenberg AFB, California, USA"
"Titan III(23)B","US Air Force","SLC-4W, Vandenberg AFB, California, USA"
"Titan III(24)B","US Air Force","SLC-4W, Vandenberg AFB, California, USA"
"Titan IIIA","US Air Force","SLC-20, Cape Canaveral AFS, Florida, USA"
"Titan IIIB","US Air Force","SLC-4W, Vandenberg AFB, California, USA"
"NOTS-EV-1 Pilot II","US Navy","Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA"
"Vanguard","US Navy","LC-18A, Cape Canaveral AFS, Florida, USA"
"Lambda-IV S","UT","Uchinoura Space Center, Japan"
"SpaceShipTwo","Virgin Galactic","VMS Eve, Spaceport America, New Mexico, USA"
"LauncherOne","Virgin Orbit","Cosmic Girl, Mojave Air and Space Port, California, USA"
"Angara 1.2","VKS RF","Site 35/1, Plesetsk Cosmodrome, Russia"
"Angara A5/Briz-M","VKS RF","Site 35/1, Plesetsk Cosmodrome, Russia"
"Angara A5/Persey","VKS RF","Site 35/1, Plesetsk Cosmodrome, Russia"
"Cosmos-3M (11K65M)","VKS RF","Site 133/3, Plesetsk Cosmodrome, Russia"
"Cosmos-3M (11K65M)","VKS RF","Site 132/1, Plesetsk Cosmodrome, Russia"
"Cosmos-3M (11K65M)","VKS RF","Site 107/1, Kapustin Yar, Russia"
"Molniya-M /Block 2BL","VKS RF","Site 31/6, Baikonur Cosmodrome, Kazakhstan"
"Molniya-M /Block 2BL","VKS RF","Site 16/2, Plesetsk Cosmodrome, Russia"
"Molniya-M /Block 2BL","VKS RF","Site 43/4, Plesetsk Cosmodrome, Russia"
"Molniya-M /Block 2BL","VKS RF","Site 43/3, Plesetsk Cosmodrome, Russia"
"Molniya-M /Block ML","VKS RF","Site 43/3, Plesetsk Cosmodrome, Russia"
"Molniya-M /Block ML","VKS RF","Site 43/4, Plesetsk Cosmodrome, Russia"
"Molniya-M /Block ML","VKS RF","Site 16/2, Plesetsk Cosmodrome, Russia"
"Molniya-M /Block NVL","VKS RF","Site 43/3, Plesetsk Cosmodrome, Russia"
"Proton-M/Briz-M","VKS RF","Site 81/24, Baikonur Cosmodrome, Kazakhstan"
"Proton-M/Briz-M","VKS RF","Site 200/39, Baikonur Cosmodrome, Kazakhstan"
"Proton-M/DM-3","VKS RF","Site 81/24, Baikonur Cosmodrome, Kazakhstan"
"Rokot/Briz K","VKS RF","Site 175/58, Baikonur Cosmodrome, Kazakhstan"
"Rokot/Briz KM","VKS RF","Site 133/3, Plesetsk Cosmodrome, Russia"
"Soyuz 2.1a","VKS RF","Site 43/4, Plesetsk Cosmodrome, Russia"
"Soyuz 2.1a/Fregat-M","VKS RF","Site 43/4, Plesetsk Cosmodrome, Russia"
"Soyuz 2.1a/Fregat-M","VKS RF","Site 43/3, Plesetsk Cosmodrome, Russia"
"Soyuz 2.1b","VKS RF","Site 43/4, Plesetsk Cosmodrome, Russia"
"Soyuz 2.1b","VKS RF","Site 43/3, Plesetsk Cosmodrome, Russia"
"Soyuz 2.1b/Fregat","VKS RF","Site 43/4, Plesetsk Cosmodrome, Russia"
"Soyuz 2.1b/Fregat","VKS RF","Site 43/3, Plesetsk Cosmodrome, Russia"
"Soyuz 2.1b/Fregat-M","VKS RF","Site 31/6, Baikonur Cosmodrome, Kazakhstan"
"Soyuz 2.1b/Fregat-M","VKS RF","Site 43/3, Plesetsk Cosmodrome, Russia"
"Soyuz 2.1b/Fregat-M","VKS RF","Site 43/4, Plesetsk Cosmodrome, Russia"
"Soyuz 2.1v/Volga","VKS RF","Site 43/4, Plesetsk Cosmodrome, Russia"
"Strela","VKS RF","Site 175/59, Baikonur Cosmodrome, Kazakhstan"
"Tsyklon-2","VKS RF","Site 90/20, Baikonur Cosmodrome, Kazakhstan"
"Tsyklon-3","VKS RF","Site 32/1, Plesetsk Cosmodrome, Russia"
"Tsyklon-3","VKS RF","Site 32/2, Plesetsk Cosmodrome, Russia"
"Zenit-2","VKS RF","Site 45/1, Baikonur Cosmodrome, Kazakhstan"
"Tsyklon-2","Yuzhmash","Site 90/20, Baikonur Cosmodrome, Kazakhstan"
"Tsyklon-3","Yuzhmash","Site 32/2, Plesetsk Cosmodrome, Russia"
